name,description
Hardware,"Physical components of a computer system, such as servers, desktops, laptops, and other related devices."
Data Management,"Processes and systems involved in the storage, organization, and maintenance of data, including databases and data backup solutions."
IP Phones,"Internet Protocol phones used for voice communication over the internet, including setup, configuration, and troubleshooting."
Network,"Infrastructure and services related to networking, such as routers, switches, firewalls, and connectivity issues."
Peripheral Devices,"External devices connected to a computer, such as keyboards, mice, monitors, and external drives."
Power,"Power-related issues, including power supplies, UPS systems, and electrical safety for IT equipment."
Printing,"Printers and printing solutions, including setup, maintenance, and troubleshooting of printing devices."
Scanning,"Scanners and related devices, including setup, maintenance, and troubleshooting of scanning equipment."
Software,"Computer programs and applications, including installation, updates, licensing, and troubleshooting."
Domain Access,"Issues related to domain access and permissions, including login credentials, group policies, and domain controller configurations."
Email,"Email systems and services, including configuration, maintenance, and troubleshooting of email clients and servers."
Other,"Miscellaneous or uncategorized IT-related issues not covered by the specific categories above."
